Wall time,Step,Value
1550949935.6811411,16343,-1.0249435901641846
1550949938.0889556,16360,-2.921156406402588
1550949941.027329,16380,-0.8970649838447571
1550949944.7090852,16406,-1.4537582397460938
1550949949.8006105,16440,-1.4452046155929565
1550949951.0441966,16449,-1.5257165431976318
1550949959.0003521,16505,-1.7268885374069214
1550949966.7949755,16559,-2.9480721950531006
1550949970.4493694,16585,-0.4818476140499115
1550949971.1725569,16590,-0.9924505352973938
1550949981.6829758,16661,-1.1576296091079712
1550949982.289247,16665,-0.624467670917511
1550949986.733658,16697,-1.1810837984085083
1550949993.5883312,16746,-0.5153871774673462
1550950001.0701897,16798,-1.8608853816986084
